,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,avarua,-21.2078,-159.775,73.45,88,30,3.44,CK,1661752944
1,ushuaia,-54.8,-68.3,42.46,70,0,2.3,AR,1661752683
2,leningradskiy,69.3833,178.4167,39.81,82,65,5.93,RU,1661752945
3,atuona,-9.8,-139.0333,77.22,74,33,21.5,PF,1661752945
4,sao filipe,14.8961,-24.4956,76.6,83,95,14.5,CV,1661752945
5,rikitea,-23.1203,-134.9692,72.19,83,100,14.76,PF,1661752946
6,punta arenas,-53.15,-70.9167,42.12,70,89,8.93,CL,1661752944
7,lata,40.1629,-8.3327,60.08,97,10,2.19,PT,1661752947
8,butaritari,3.0707,172.7902,82.22,71,12,16.58,KI,1661752947
9,clyde river,70.4692,-68.5914,32.23,100,100,0.0,CA,1661752948
10,strezhevoy,60.7333,77.5889,50.63,78,100,6.87,RU,1661752948
11,severo-kurilsk,50.6789,156.125,56.05,95,100,12.59,RU,1661752948
12,rio gallegos,-51.6226,-69.2181,44.06,78,100,8.1,AR,1661752949
13,souillac,-20.5167,57.5167,73.11,76,30,12.97,MU,1661752949
14,sorland,67.667,12.6934,49.86,86,100,17.52,NO,1661752950
15,moerai,-22.4333,-151.3333,72.73,81,20,8.16,PF,1661752950
16,sao joao dos patos,-6.495,-43.7022,68.22,55,3,4.29,BR,1661752951
17,menongue,-14.6585,17.691,64.13,35,14,2.42,AO,1661752951
18,tiksi,71.6872,128.8694,47.53,68,63,9.46,RU,1661752952
19,boddam,57.4667,-1.7833,57.58,79,93,7.49,GB,1661752952
20,osvaldo cruz,-21.7967,-50.8786,62.83,74,24,16.89,BR,1661752952
21,bluff,-46.6,168.3333,48.65,78,4,6.82,NZ,1661752916
22,dakoro,14.5106,6.765,76.15,80,100,5.84,NE,1661752953
23,dobrinka,52.1653,40.4731,79.83,27,91,16.08,RU,1661752954
24,katherine,-14.4667,132.2667,95.32,31,40,10.36,AU,1661752954
25,hermanus,-34.4187,19.2345,51.8,81,59,14.45,ZA,1661752955
26,mahebourg,-20.4081,57.7,75.25,78,35,13.8,MU,1661752955
27,carnarvon,-24.8667,113.6333,71.6,33,0,13.02,AU,1661752956
28,georgetown,5.4112,100.3354,87.75,62,20,7.0,MY,1661752784
